FECHA,PRODUCTO_1,TIPO_CONTRATO_1,PRODUCTO_2,TIPO_CONTRATO_2,AJUSTE_POS1,AJUSTE_POS2,SPREAD,RELACION%
2024-08-06,TRI Disponible,TRI.ROS/DIS24,MAI Disponible,MAI.ROS/DIS24,251.5,174.0,77.5,44.54
2024-08-06,TRI Disponible,TRI.ROS/DIS24,MAI Dolar MATba,MAI.ROS/SEP24,251.5,177.9,73.6,41.372
2024-08-06,TRI Disponible,TRI.ROS/DIS24,MAI Dolar MATba,MAI.ROS/DIC24,251.5,178.9,72.6,40.581
2024-08-06,TRI Disponible,TRI.ROS/DIS24,MAI Dolar MATba,MAI.ROS/ABR25,251.5,172.0,79.5,46.221
2024-08-06,TRI Disponible,TRI.ROS/DIS24,MAI Dolar MATba,MAI.ROS/JUL25,251.5,166.6,84.9,50.96
2024-08-06,TRI Disponible,TRI.ROS/DIS24,SOJ Disponible,SOJ.ROS/DIS24,251.5,310.5,-59.0,-19.002
2024-08-06,TRI Disponible,TRI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/SEP24,251.5,311.0,-59.5,-19.132
2024-08-06,TRI Disponible,TRI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/NOV24,251.5,310.0,-58.5,-18.871
2024-08-06,TRI Disponible,TRI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/ENE25,251.5,307.5,-56.0,-18.211
2024-08-06,TRI Disponible,TRI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/MAY25,251.5,285.0,-33.5,-11.754
2024-08-06,TRI Disponible,TRI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/JUL25,251.5,289.0,-37.5,-12.976
2024-08-06,TRI Disponible,TRI.ROS/DIS24,TRI Dolar MATba,TRI.ROS/SEP24,251.5,248.0,3.5,1.411
2024-08-06,TRI Disponible,TRI.ROS/DIS24,TRI Dolar MATba,TRI.ROS/DIC24,251.5,220.0,31.5,14.318
2024-08-06,TRI Disponible,TRI.ROS/DIS24,TRI Dolar MATba,TRI.ROS/ENE25,251.5,221.5,30.0,13.544
2024-08-06,TRI Disponible,TRI.ROS/DIS24,TRI Dolar MATba,TRI.ROS/MAR25,251.5,223.0,28.5,12.78
2024-08-06,TRI Dolar MATba,TRI.ROS/SEP24,MAI Disponible,MAI.ROS/DIS24,248.0,174.0,74.0,42.529
2024-08-06,TRI Dolar MATba,TRI.ROS/SEP24,MAI Dolar MATba,MAI.ROS/SEP24,248.0,177.9,70.1,39.404
2024-08-06,TRI Dolar MATba,TRI.ROS/SEP24,MAI Dolar MATba,MAI.ROS/DIC24,248.0,178.9,69.1,38.625
2024-08-06,TRI Dolar MATba,TRI.ROS/SEP24,MAI Dolar MATba,MAI.ROS/ABR25,248.0,172.0,76.0,44.186
2024-08-06,TRI Dolar MATba,TRI.ROS/SEP24,MAI Dolar MATba,MAI.ROS/JUL25,248.0,166.6,81.4,48.86
2024-08-06,TRI Dolar MATba,TRI.ROS/SEP24,SOJ Disponible,SOJ.ROS/DIS24,248.0,310.5,-62.5,-20.129
2024-08-06,TRI Dolar MATba,TRI.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/SEP24,248.0,311.0,-63.0,-20.257
