PRODUCTO,TIPO CONTRATO,FECHA,AJUSTE / PRIMA REF.
CRN Matba,CRN.CME/NOV23,2023-07-06,202.8
CRN Matba,CRN.CME/ABR24,2023-07-06,208.0
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-06,185.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-06,185.4
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-06,187.1
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-06,184.5
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-06,170.5
MAI MIN,MAI.MIN/SEP23,2023-07-06,185.4
MAI MIN,MAI.MIN/DIC23,2023-07-06,187.1
MAI MIN,MAI.MIN/ABR24,2023-07-06,184.5
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-06,48550.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-06,359.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-06,358.0
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-06,358.5
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-06,357.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-06,331.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-06,335.0
SOJ MIN,SOJ.MIN/NOV23,2023-07-06,358.5
SOJ MIN,SOJ.MIN/MAY24,2023-07-06,331.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-06,93000.0
SOY Matba,SOY.CME/OCT23,2023-07-06,491.5
SOY Matba,SOY.CME/ABR24,2023-07-06,488.2
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-06,287.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-06,229.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-06,231.0
TRI MIN,TRI.MIN/DIC23,2023-07-06,229.0
CRN Matba,CRN.CME/AGO23,2023-07-07,194.0
CRN Matba,CRN.CME/NOV23,2023-07-07,199.1
CRN Matba,CRN.CME/ABR24,2023-07-07,203.3
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-07,181.2
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-07,183.1
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-07,185.5
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-07,183.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-07,170.0
MAI MIN,MAI.MIN/DIC23,2023-07-07,185.5
MAI MIN,MAI.MIN/ABR24,2023-07-07,183.0
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-07,48000.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-07,356.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-07,355.6
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-07,357.5
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-07,357.0
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-07,330.6
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-07,333.5
SOJ MIN,SOJ.MIN/NOV23,2023-07-07,357.5
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-07,93000.0
SOY Matba,SOY.CME/OCT23,2023-07-07,483.5
SOY Matba,SOY.CME/DIC23,2023-07-07,487.2
SOY Matba,SOY.CME/ABR24,2023-07-07,483.3
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-07,281.0
TRI Dolar MATba,TRI.ROS/SEP23,2023-07-07,277.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-07,227.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-07,230.0
CRN Matba,CRN.CME/AGO23,2023-07-10,195.2
CRN Matba,CRN.CME/NOV23,2023-07-10,200.8
CRN Matba,CRN.CME/JUN24,2023-07-10,204.0
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-10,181.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-10,182.0
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-10,185.5
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-10,184.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-10,170.0
MAI MIN,MAI.MIN/DIC23,2023-07-10,185.5
MAI MIN,MAI.MIN/ABR24,2023-07-10,184.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-10,359.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-10,358.0
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-10,361.5
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-10,362.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-10,333.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-10,336.5
SOJ MIN,SOJ.MIN/NOV23,2023-07-10,361.5
SOJ MIN,SOJ.MIN/MAY24,2023-07-10,333.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-10,93000.0
SOY Matba,SOY.CME/OCT23,2023-07-10,493.0
SOY Matba,SOY.CME/ABR24,2023-07-10,488.8
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-10,282.0
TRI Dolar MATba,TRI.ROS/SEP23,2023-07-10,280.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-10,225.1
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-10,228.0
TRI MIN,TRI.MIN/DIC23,2023-07-10,225.1
CRN Matba,CRN.CME/AGO23,2023-07-11,195.7
CRN Matba,CRN.CME/NOV23,2023-07-11,200.8
CRN Matba,CRN.CME/ABR24,2023-07-11,205.4
CRN Matba,CRN.CME/JUN24,2023-07-11,205.9
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-11,185.0
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-11,183.0
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-11,187.0
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-11,183.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-11,170.0
MAI MIN,MAI.MIN/SEP23,2023-07-11,183.0
MAI MIN,MAI.MIN/DIC23,2023-07-11,187.0
MAI MIN,MAI.MIN/ABR24,2023-07-11,183.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-11,363.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-11,358.0
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-11,363.0
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-11,363.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-11,332.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-11,335.7
SOJ MIN,SOJ.MIN/NOV23,2023-07-11,363.0
SOJ MIN,SOJ.MIN/MAY24,2023-07-11,332.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-11,95000.0
SOY Matba,SOY.CME/OCT23,2023-07-11,498.4
SOY Matba,SOY.CME/DIC23,2023-07-11,501.1
SOY Matba,SOY.CME/ABR24,2023-07-11,492.0
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-11,282.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-11,224.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-11,227.0
TRI MIN,TRI.MIN/DIC23,2023-07-11,224.0
CRN Matba,CRN.CME/AGO23,2023-07-12,187.5
CRN Matba,CRN.CME/NOV23,2023-07-12,193.9
CRN Matba,CRN.CME/ABR24,2023-07-12,198.0
CRN Matba,CRN.CME/JUN24,2023-07-12,199.2
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-12,182.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-12,181.0
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-12,183.2
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-12,183.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-12,169.0
MAI MIN,MAI.MIN/SEP23,2023-07-12,181.0
MAI MIN,MAI.MIN/DIC23,2023-07-12,183.2
MAI MIN,MAI.MIN/ABR24,2023-07-12,183.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-12,356.5
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-12,355.0
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-12,360.0
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-12,359.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-12,329.5
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-12,332.0
SOJ MIN,SOJ.MIN/NOV23,2023-07-12,360.0
SOJ MIN,SOJ.MIN/MAY24,2023-07-12,329.5
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-12,95000.0
SOY Matba,SOY.CME/OCT23,2023-07-12,487.6
SOY Matba,SOY.CME/DIC23,2023-07-12,490.9
SOY Matba,SOY.CME/ABR24,2023-07-12,482.0
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-12,277.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-12,219.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-12,221.5
TRI Dolar MATba,TRI.ROS/MAR24,2023-07-12,225.2
TRI MIN,TRI.MIN/DIC23,2023-07-12,219.0
CRN Matba,CRN.CME/AGO23,2023-07-13,194.7
CRN Matba,CRN.CME/NOV23,2023-07-13,199.6
CRN Matba,CRN.CME/ABR24,2023-07-13,204.5
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-13,181.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-13,181.5
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-13,184.0
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-13,182.6
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-13,169.0
MAI MIN,MAI.MIN/SEP23,2023-07-13,181.5
MAI MIN,MAI.MIN/DIC23,2023-07-13,184.0
MAI MIN,MAI.MIN/ABR24,2023-07-13,182.6
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-13,50000.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-13,362.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-13,357.3
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-13,363.0
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-13,362.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-13,331.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-13,333.5
SOJ MIN,SOJ.MIN/NOV23,2023-07-13,363.0
SOJ MIN,SOJ.MIN/ENE24,2023-07-13,362.5
SOJ MIN,SOJ.MIN/MAY24,2023-07-13,331.0
SOJ MIN,SOJ.MIN/JUL24,2023-07-13,333.5
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-13,95000.0
SOY Matba,SOY.CME/OCT23,2023-07-13,500.9
SOY Matba,SOY.CME/DIC23,2023-07-13,504.4
SOY Matba,SOY.CME/ABR24,2023-07-13,496.9
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-13,277.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-13,217.5
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-13,219.5
TRI Dolar MATba,TRI.ROS/MAR24,2023-07-13,221.0
TRI MIN,TRI.MIN/DIC23,2023-07-13,217.5
CRN Matba,CRN.CME/AGO23,2023-07-14,201.2
CRN Matba,CRN.CME/NOV23,2023-07-14,205.4
CRN Matba,CRN.CME/JUN24,2023-07-14,210.6
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-14,175.0
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-14,181.5
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-14,184.5
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-14,184.5
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-14,171.0
MAI MIN,MAI.MIN/SEP23,2023-07-14,181.5
MAI MIN,MAI.MIN/DIC23,2023-07-14,184.5
MAI MIN,MAI.MIN/ABR24,2023-07-14,184.5
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-14,51000.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-14,352.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-14,352.6
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-14,360.0
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-14,358.2
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-14,334.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-14,336.0
SOJ MIN,SOJ.MIN/NOV23,2023-07-14,360.0
SOJ MIN,SOJ.MIN/ENE24,2023-07-14,358.2
SOJ MIN,SOJ.MIN/MAY24,2023-07-14,334.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-14,101050.0
SOY Matba,SOY.CME/OCT23,2023-07-14,500.8
SOY Matba,SOY.CME/DIC23,2023-07-14,506.1
SOY Matba,SOY.CME/ABR24,2023-07-14,497.4
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-14,282.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-14,224.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-14,225.5
TRI MIN,TRI.MIN/DIC23,2023-07-14,224.0
CRN Matba,CRN.CME/AGO23,2023-07-17,197.1
CRN Matba,CRN.CME/NOV23,2023-07-17,201.6
CRN Matba,CRN.CME/ABR24,2023-07-17,207.5
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-17,175.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-17,182.5
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-17,183.5
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-17,182.6
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-17,170.0
MAI MIN,MAI.MIN/SEP23,2023-07-17,182.5
MAI MIN,MAI.MIN/DIC23,2023-07-17,183.5
MAI MIN,MAI.MIN/ABR24,2023-07-17,182.6
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-17,50000.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-17,362.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-17,356.4
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-17,362.0
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-17,333.5
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-17,336.4
SOJ MIN,SOJ.MIN/NOV23,2023-07-17,362.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-17,97000.0
SOY Matba,SOY.CME/OCT23,2023-07-17,503.0
SOY Matba,SOY.CME/DIC23,2023-07-17,507.9
SOY Matba,SOY.CME/ABR24,2023-07-17,500.0
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-17,282.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-17,223.5
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-17,225.5
TRI MIN,TRI.MIN/DIC23,2023-07-17,223.5
CRN Matba,CRN.CME/AGO23,2023-07-18,208.6
CRN Matba,CRN.CME/NOV23,2023-07-18,212.0
CRN Matba,CRN.CME/ABR24,2023-07-18,216.8
CRN Matba,CRN.CME/JUN24,2023-07-18,216.3
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-18,186.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-18,188.5
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-18,189.0
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-18,187.5
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-18,173.0
MAI MIN,MAI.MIN/SEP23,2023-07-18,188.5
MAI MIN,MAI.MIN/DIC23,2023-07-18,189.0
MAI MIN,MAI.MIN/ABR24,2023-07-18,187.5
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-18,52000.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-18,364.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-18,361.1
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-18,362.0
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-18,361.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-18,333.5
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-18,336.4
SOJ MIN,SOJ.MIN/NOV23,2023-07-18,362.0
SOJ MIN,SOJ.MIN/ENE24,2023-07-18,361.5
SOJ MIN,SOJ.MIN/MAY24,2023-07-18,333.5
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-18,98000.0
SOY Matba,SOY.CME/OCT23,2023-07-18,510.9
SOY Matba,SOY.CME/DIC23,2023-07-18,515.3
SOY Matba,SOY.CME/ABR24,2023-07-18,505.0
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-18,283.5
TRI Dolar MATba,TRI.ROS/SEP23,2023-07-18,273.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-18,227.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-18,228.0
TRI MIN,TRI.MIN/DIC23,2023-07-18,227.0
CRN Matba,CRN.CME/AGO23,2023-07-19,214.0
CRN Matba,CRN.CME/NOV23,2023-07-19,217.0
CRN Matba,CRN.CME/ABR24,2023-07-19,223.6
CRN Matba,CRN.CME/JUN24,2023-07-19,223.9
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-19,194.0
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-19,193.5
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-19,195.0
